light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms,source_csv,acquisition_index
32,off,direct,direct,forward,Release,1,3,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534112,0.000000,0,0,0.000000,0.000000,0.000000,2.020896,3.381038,0.904396,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,4,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532992,0.000000,0,0,0.000000,0.000000,0.000000,1.887328,3.262795,0.888085,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,5,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534944,0.000000,0,0,0.000000,0.000000,0.000000,2.022752,3.494982,0.985448,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,6,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534528,0.000000,0,0,0.000000,0.000000,0.000000,1.891072,3.795489,0.963007,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,7,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534208,0.000000,0,0,0.000000,0.000000,0.000000,2.021184,3.480967,0.963217,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,8,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533216,0.000000,0,0,0.000000,0.000000,0.000000,1.893376,3.759371,1.014092,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,9,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534112,0.000000,0,0,0.000000,0.000000,0.000000,2.021728,3.525670,0.976071,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,10,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534240,0.000000,0,0,0.000000,0.000000,0.000000,1.904992,3.593619,1.115615,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,11,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532480,0.000000,0,0,0.000000,0.000000,0.000000,1.756256,3.590613,1.054198,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,12,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533856,0.000000,0,0,0.000000,0.000000,0.000000,1.912288,3.546910,1.067343,shadows-off_direct_lights-032_run-1.csv,1
