light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms,source_csv
32,dense,off,direct,direct,forward,forward,Release,1,25,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.742432,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.742432,0,0,0,0,2.467520,4.422743,1.200414,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,26,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.743008,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.743008,0,0,0,0,1.974944,3.643233,1.107109,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,27,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.742080,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.742080,0,0,0,0,2.358016,4.244376,1.117507,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,28,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.737376,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.737376,0,0,0,0,3.150976,4.899893,1.139860,dense-032-forward-1.csv
32,dense,off,direct,direct,forward,forward,Release,1,29,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,59572752,0.740288,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.740288,0,0,0,0,1.973056,3.781994,1.045702,dense-032-forward-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,0,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.552160,0.000000,0,0,0.000000,0.000000,0.000000,0.062240,0.614400,8160,0,0,0,1.843616,3.174288,0.941777,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,1,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.553152,0.000000,0,0,0.000000,0.000000,0.000000,0.062592,0.615744,8160,0,0,0,1.940480,3.339539,0.924865,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,2,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.554688,0.000000,0,0,0.000000,0.000000,0.000000,0.061440,0.616128,8160,0,0,0,2.108672,3.515671,0.948729,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,3,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.552832,0.000000,0,0,0.000000,0.000000,0.000000,0.062560,0.615392,8160,0,0,0,1.941280,3.358816,0.960652,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,4,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.551680,0.000000,0,0,0.000000,0.000000,0.000000,0.062592,0.614272,8160,0,0,0,2.334208,3.838891,1.030845,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,5,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.561120,0.000000,0,0,0.000000,0.000000,0.000000,0.088736,0.649856,8160,0,0,0,2.018368,3.574192,0.958397,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,6,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.552960,0.000000,0,0,0.000000,0.000000,0.000000,0.061440,0.614400,8160,0,0,0,1.840928,3.477871,1.041805,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,7,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.553856,0.000000,0,0,0.000000,0.000000,0.000000,0.093344,0.647200,8160,0,0,0,2.014560,3.583780,0.967926,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,8,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.553472,0.000000,0,0,0.000000,0.000000,0.000000,0.062720,0.616192,8160,0,0,0,1.982240,3.617814,1.118971,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,9,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.552960,0.000000,0,0,0.000000,0.000000,0.000000,0.061440,0.614400,8160,0,0,0,1.839648,3.608677,1.245460,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,10,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.551520,0.000000,0,0,0.000000,0.000000,0.000000,0.062624,0.614144,8160,0,0,0,2.044192,3.471989,0.897433,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,11,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.554048,0.000000,0,0,0.000000,0.000000,0.000000,0.061440,0.615488,8160,0,0,0,1.840416,3.128200,0.931958,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,12,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.553280,0.000000,0,0,0.000000,0.000000,0.000000,0.061760,0.615040,8160,0,0,0,1.842272,3.149832,0.963778,dense-032-tiled-1.csv
32,dense,off,direct,direct,tiled,tiled,Release,1,13,NVIDIA GeForce RTX 2080 Ti,NVIDIA 595.84.0.0,a0a4e29d480ed3344f19bd3565d48668ca913fed,1920,1080,0,0,32,0,0,0,0,0,0,10,61726992,0.551584,0.000000,0,0,0.000000,0.000000,0.000000,0.062624,0.614208,8160,0,0,0,1.837408,3.177273,0.937559,dense-032-tiled-1.csv
