light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms,source_csv,acquisition_index
0,dense,off,direct,direct,forward,forward,Release,1,25,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037408,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037408,0,0,0,0,1.839392,3.210316,0.871154,shadows-off_direct_lights-000_run-1.csv,0
0,dense,off,direct,direct,forward,forward,Release,1,26,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037440,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037440,0,0,0,0,1.279680,2.539791,0.953078,shadows-off_direct_lights-000_run-1.csv,0
0,dense,off,direct,direct,forward,forward,Release,1,27,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037472,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037472,0,0,0,0,1.708704,3.033041,0.849973,shadows-off_direct_lights-000_run-1.csv,0
0,dense,off,direct,direct,forward,forward,Release,1,28,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037152,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037152,0,0,0,0,1.407776,2.803318,0.894237,shadows-off_direct_lights-000_run-1.csv,0
0,dense,off,direct,direct,forward,forward,Release,1,29,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037824,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037824,0,0,0,0,1.266592,2.370180,0.905508,shadows-off_direct_lights-000_run-1.csv,0
32,dense,off,direct,direct,forward,forward,Release,1,0,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.575072,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.575072,0,0,0,0,1.923456,3.457322,0.913283,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,1,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.572640,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.572640,0,0,0,0,1.970848,3.322748,0.890229,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,2,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.571840,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.571840,0,0,0,0,2.194880,3.766845,0.894898,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,3,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.573184,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.573184,0,0,0,0,1.925696,3.246965,0.876724,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,4,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.572672,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.572672,0,0,0,0,1.919712,3.322346,0.903424,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,5,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.573856,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.573856,0,0,0,0,1.968960,3.297771,0.886182,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,6,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.572768,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.572768,0,0,0,0,2.212480,3.904695,0.849552,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,7,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.574816,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.574816,0,0,0,0,1.960224,3.289826,0.889999,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,8,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.571584,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.571584,0,0,0,0,1.964480,3.446671,0.931287,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,9,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.572096,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.572096,0,0,0,0,2.134176,3.450980,0.861335,shadows-off_direct_lights-032_run-1.csv,1
32,dense,off,direct,direct,forward,forward,Release,1,10,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti 595.84,4a3453e2b1868555d833f578d43f48b8bc47d41a,1920,1080,0,0,32,0,0,0,0,0,0,10,59579952,0.572544,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.572544,0,0,0,0,1.919584,3.354177,0.893355,shadows-off_direct_lights-032_run-1.csv,1
